Grant,Organization,"Main Topic",Topics,"Date of Award",Amount
"Ayni Institute —  Criminal Justice Reform Coaching (2019)","Ayni Institute","Criminal Justice Reform","Criminal Justice Reform",03/2019,"$264,000"
"Ayni Institute — Criminal Justice Reform Coaching (2021)","Ayni Institute","Criminal Justice Reform","Criminal Justice Reform",01/2021,"$100,000"
"Ayni Institute — Momentum Training","Ayni Institute","Criminal Justice Reform","Criminal Justice Reform",07/2016,"$40,000"
"Ayni Institute — Movement Ecology and Metrics","Ayni Institute","Criminal Justice Reform","Criminal Justice Reform",12/2016,"$250,000"
"Ayni Institute — Movement Ecology Training","Ayni Institute","Criminal Justice Reform","Criminal Justice Reform",03/2016,"$115,000"
"Ayni Institute — Movement Strategy and Trainings","Ayni Institute","Criminal Justice Reform","Criminal Justice Reform",10/2021,"$480,000"
"Ayuda Efectiva — General Support","Ayuda Efectiva","Effective Giving and Careers","Effective Giving and Careers",02/2023,"$225,000"
"Ayuda Efectiva — General Support (2024)﻿","Ayuda Efectiva","Effective Giving and Careers","Effective Giving and Careers",10/2024,"$378,000"
"BERI — Core Support and CHAI Collaboration","Berkeley Existential Risk Initiative","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",07/2017,"$403,890"
"Berkeley Existential Risk Initiative – AI Risk Management Frameworks (2024)","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","Potential Risks from Advanced AI",02/2024,"$713,000"
"Berkeley Existential Risk Initiative – CHAI Internships","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","Potential Risks from Advanced AI",01/2024,"$1,050,000"
"Berkeley Existential Risk Initiative — AI for Epistemics Workshop ","Berkeley Existential Risk Initiative","Global Catastrophic Risks","Global Catastrophic Risks",04/2024,"$21,060"
"Berkeley Existential Risk Initiative — AI Governance Workshop","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","Potential Risks from Advanced AI",05/2025,"$56,915"
"Berkeley Existential Risk Initiative — AI Standards","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","Potential Risks from Advanced AI",07/2021,"$300,000"
"Berkeley Existential Risk Initiative — Algorithmic Alignment Group","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","Potential Risks from Advanced AI",09/2024,"$30,000"
"Berkeley Existential Risk Initiative — CHAI Collaboration (2019)","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","Potential Risks from Advanced AI",11/2019,"$705,000"
"Berkeley Existential Risk Initiative — CHAI Collaboration (2022)","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","Potential Risks from Advanced AI",02/2022,"$1,126,160"
"Berkeley Existential Risk Initiative — CHAI ML Engineers","Berkeley Existential Risk Initiative","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",01/2019,"$250,000"
"Berkeley Existential Risk Initiative — David Krueger Collaboration","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","Potential Risks from Advanced AI",04/2022,"$40,000"
"Berkeley Existential Risk Initiative — General Support","Berkeley Existential Risk Initiative","Global Catastrophic Risks","Global Catastrophic Risks; Potential Risks from Advanced AI",01/2020,"$150,000"
"Berkeley Existential Risk Initiative — General Support (2022)","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","Potential Risks from Advanced AI",11/2022,"$100,000"
"Berkeley Existential Risk Initiative — InterACT Lab","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","Potential Risks from Advanced AI",01/2025,"$59,400"
"Berkeley Existential Risk Initiative — Language Model Alignment Research","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","Potential Risks from Advanced AI",06/2022,"$40,000"
"Berkeley Existential Risk Initiative — Latent Adversarial Training Project","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","Potential Risks from Advanced AI",03/2024,"$45,000"
"Berkeley Existential Risk Initiative — Machine Learning Alignment Theory Scholars","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","Potential Risks from Advanced AI",11/2022,"$2,047,268"
"Berkeley Existential Risk Initiative — MATS (November 2023)","Berkeley Existential Risk Initiative","Global Catastrophic Risks","Global Catastrophic Risks",11/2023,"$2,641,368"
"Berkeley Existential Risk Initiative — MineRL BASALT Competition","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","Potential Risks from Advanced AI",07/2021,"$70,000"
"Berkeley Existential Risk Initiative — Oxford Martin AI Governance Initiative","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","Potential Risks from Advanced AI",10/2024,"$35,000"
"Berkeley Existential Risk Initiative — Scalable Oversight Dataset","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","Potential Risks from Advanced AI",08/2023,"$70,000"
"Berkeley Existential Risk Initiative — Sculpting Evolution Collaboration","Berkeley Existential Risk Initiative","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",11/2021,"$451,571"
"Berkeley Existential Risk Initiative — SERI MATS 4.0","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","Potential Risks from Advanced AI",06/2023,"$428,942"
"Berkeley Existential Risk Initiative — SERI MATS Program","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","Potential Risks from Advanced AI",11/2021,"$195,000"
"Berkeley Existential Risk Initiative — SERI MATS Program (2022)","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","Potential Risks from Advanced AI",06/2022,"$1,008,127"
"Berkeley Existential Risk Initiative — SERI MATS Program (2022)","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","Potential Risks from Advanced AI",04/2022,"$1,008,127"
"Berkeley Existential Risk Initiative — SERI Summer Fellowship","Berkeley Existential Risk Initiative","Global Catastrophic Risks","Global Catastrophic Risks",05/2021,"$210,000"
"Berkeley Existential Risk Initiative — SERI Summer Fellowships","Berkeley Existential Risk Initiative","Global Catastrophic Risks","Global Catastrophic Risks",06/2022,"$400,000"
"Berkeley Existential Risk Initiative — University Collaboration Program","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","Potential Risks from Advanced AI",10/2023,"$70,000"
"Bertha von Suttner-Studienwerk — University Scholarships","Bertha von Suttner-Studienwerk","Effective Giving and Careers","Effective Giving and Careers",01/2023,"$110,000"
BetaGov,"Pepperdine University","Criminal Justice Reform","Criminal Justice Reform",12/2013,"$200,000"
"Beth Israel Deaconess Medical Center — Long COVID Therapy Trial","Beth Israel Deaconess Medical Center","Scientific Research","Scientific Research",03/2023,"$1,500,000"
"Beth Israel Deaconess Medical Center — Sepsis Therapy (Michael Donnino)","Beth Israel Deaconess Medical Center","Scientific Research","Scientific Research",01/2018,"$2,939,400"
"Better Boulder — YIMBY 2016","Better Boulder","Housing Policy Reform","Housing Policy Reform",04/2016,"$37,000"
"Better Eating International — Millennial Vegan Survey","Better Eating International","Farm Animal Welfare","Farm Animal Welfare",02/2018,"$67,110"
"Better Eating International — Organizational Development","Better Eating International","Farm Animal Welfare","Farm Animal Welfare",09/2018,"$12,690"
"BioBricks Foundation — Biosecurity Activities at SB7.0","BioBricks Foundation","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",04/2017,"$152,950"
"Biosecure — Biological Weapons Convention Verification Workshop","Biosecure Ltd.","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",07/2022,"$155,714"
"Biosecurity Fellowships",,"Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",01/2023,"$520,252"
"Bipartisan Commission on Biodefense — General Support","Bipartisan Commission on Biodefense","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",02/2020,"$2,970,000"
"Bipartisan Commission on Biodefense — General Support (2022)","Bipartisan Commission on Biodefense","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",07/2022,"$5,200,000"
"Bipartisan Commission on Biodefense — General Support (2025)","Bipartisan Commission on Biodefense","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",01/2025,"$4,600,000"
"Bit by Bit Coding — High School Courses on Neural Networks","Bit by Bit Coding",Longtermism,"Longtermism; Potential Risks from Advanced AI",10/2021,"$250,275"
"Black Strategy Fund — General Support","Black Strategy Fund","Criminal Justice Reform","Criminal Justice Reform",09/2020,"$100,000"
"Blackbird — Ending Mass Incarceration",Blackbird,"Criminal Justice Reform","Criminal Justice Reform",12/2017,"$425,000"
"Blackbird — Ending Mass Incarceration",Blackbird,"Criminal Justice Reform","Criminal Justice Reform",12/2016,"$425,000"
"BlackRoots Alliance — Prosecutorial Accountability (2019)","BlackRoots Alliance","Criminal Justice Reform","Criminal Justice Reform",08/2019,"$100,000"
"BlackRoots Alliance — Work on Prosecutor Accountability (2020)","BlackRoots Alliance","Criminal Justice Reform","Criminal Justice Reform",09/2020,"$15,000"
"Blue Ribbon Study Panel on Biodefense","Blue Ribbon Study Panel on Biodefense","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",04/2015,"$300,000"
"Blue Ribbon Study Panel on Biodefense — General Support","Blue Ribbon Study Panel on Biodefense","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",08/2016,"$1,300,000"
"Blue Ribbon Study Panel on Biodefense — General Support","Blue Ribbon Study Panel on Biodefense","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",01/2017,"$500,000"
"Blue Ribbon Study Panel on Biodefense— General Support (2018)","Blue Ribbon Study Panel on Biodefense","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",01/2018,"$2,588,162"
"BlueDot Impact — General Support","BlueDot Impact","Effective Giving and Careers","Effective Giving and Careers",06/2022,"$2,009,000"
"BlueDot Impact — General Support (2023)","BlueDot Impact","Global Catastrophic Risks","Global Catastrophic Risks",06/2023,"$388,890"
"BlueDot Impact — General Support (2024)","BlueDot Impact","Global Catastrophic Risks","Global Catastrophic Risks",08/2024,"$2,468,511"
"BlueDot Impact — General Support (2025)","BlueDot Impact","Global Catastrophic Risks","Global Catastrophic Risks",06/2025,"$25,649,888"
"BlueDot Impact — General Support (July 2023)","BlueDot Impact","Global Catastrophic Risks","Global Catastrophic Risks",07/2023,"$1,542,364"
"Blueprint Biosecurity — General Support","Blueprint Biosecurity","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",08/2023,"$50,000"
"Blueprint Biosecurity — General Support (2024)","Blueprint Biosecurity","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",10/2024,"$900,000"
"Boston Children&#8217;s Hospital — Chronic Pain Research (Yi Zhang)","Boston Children's Hospital","Scientific Research","Scientific Research",10/2018,"$2,695,376"
"Boston University — Human Lung Model Systems","Boston University","Scientific Research","Scientific Research",08/2021,"$414,000"
"Bouisson-Bertrand Institute — Loiasis (African Eye Worm) Impact Study","Bouisson-Bertrand Institute","Global Health R&amp;D","Global Health R&amp;D",05/2024,"$211,014"
"Breakthrough Institute — Research on Plant-Based Meat Consumption","Breakthrough Institute","Farm Animal Welfare","Farm Animal Welfare",06/2022,"$50,000"
"Brian Christian — Psychology Research","Brian Christian","Potential Risks from Advanced AI","Potential Risks from Advanced AI",02/2023,"$37,903"
"Bridges to Prosperity — Trailbridge Building RCT in Rwanda","Bridges to Prosperity","Global Health & Development","Potential GiveWell Top Charities; Global Health & Development",05/2022,"$3,390,138"
"Brigham and Women&#8217;s Hospital — Blood Test for Alzheimer’s (David Walt)","Brigham and Women's Hospital","Alzheimer's Research","Scientific Research; Alzheimer's Research",10/2018,"$4,247,744"
"Brigham and Women’s Hospital — Alzheimer’s Diagnosis Research (2022)","Brigham and Women's Hospital","Alzheimer's Research","Scientific Research; Alzheimer's Research",08/2022,"$4,500,000"
"Broad Institute — COVID-19 Diagnostic Testing (Stacey Gabriel)","Broad Institute","Biosecurity and Pandemic Preparedness","Scientific Research; Biosecurity and Pandemic Preparedness",03/2020,"$925,000"
"Broad Institute — Genome Editing Research (Feng Zhang)","Broad Institute","Scientific Research","Scientific Research; Transformative Basic Science",12/2019,"$2,500,000"
"Broad Institute — Pandemic Preemption System (Pardis Sabeti and Christian Happi)","Broad Institute","Biosecurity and Pandemic Preparedness","Scientific Research; Biosecurity and Pandemic Preparedness",03/2020,"$1,000,000"
